DATE	P15	P40	P60	P85
11-11	39.3	52.2	63.2	81.0	
11-12	40.4	53.0	62.7	81.8	
11-13	40.2	55.8	65.3	83.1	
11-14	38.3	55.4	66.0	82.9	
11-15	36.1	53.9	64.8	83.9	
11-16	34.0	52.2	66.4	84.5	
11-17	32.1	50.9	67.2	84.6	
11-18	31.8	52.9	66.9	85.3	
11-19	30.6	53.2	66.4	85.3	
11-20	29.1	50.4	63.1	82.9	
11-21	29.3	48.6	60.9	80.8	
11-22	27.9	47.5	58.6	80.5	
11-23	26.4	46.1	56.9	80.9	
11-24	25.5	44.5	55.9	79.0	
11-25	24.4	42.3	54.6	76.1	
11-26	23.9	43.2	52.9	73.7	
11-27	24.3	43.6	52.3	73.1	
11-28	23.3	42.9	52.7	72.7	
11-29	22.5	42.3	53.1	72.5	
11-30	22.5	42.2	54.4	73.4	
12-01	22.5	43.0	54.4	73.4	
12-02	22.2	44.0	53.9	75.9	
12-03	23.8	45.4	54.0	77.3	
12-04	24.6	47.4	56.8	79.6	
12-05	25.6	46.3	56.1	79.1	
12-06	27.6	45.6	56.8	79.2	
12-07	27.4	45.4	58.8	82.6	
12-08	27.5	46.2	60.2	83.5	
12-09	28.0	46.5	60.3	83.7	
12-10	31.0	46.3	60.0	83.3	
12-11	31.5	45.9	59.9	83.8	
12-12	31.0	45.4	61.0	83.0	
12-13	31.1	45.4	61.1	83.0	
12-14	32.2	44.6	60.5	83.4	
12-15	31.7	44.4	61.6	83.1	
12-16	31.4	44.7	60.8	83.3	
12-17	30.7	44.2	60.6	84.6	
12-18	28.3	42.3	59.1	84.0	
12-19	25.7	41.3	58.9	82.9	
12-20	22.8	41.3	56.5	81.2	
12-21	23.2	39.4	54.9	80.3	
12-22	21.6	37.6	52.8	77.9	
12-23	21.0	36.3	51.0	75.2	
12-24	21.5	35.6	51.9	73.9	
12-25	22.2	36.4	51.3	73.7	
12-26	22.6	36.0	50.8	76.8	
12-27	25.4	36.0	50.5	77.3	
12-28	25.4	36.2	50.6	77.4	
12-29	25.5	37.2	50.7	80.6	
12-30	25.4	37.6	53.0	83.9	
12-31	22.7	35.5	51.8	82.8	
01-01	25.4	41.0	53.0	85.1	
01-02	25.2	42.1	53.0	88.2	
01-03	24.0	42.2	54.5	88.8	
01-04	21.6	40.2	53.2	87.7	
01-05	20.2	39.5	51.3	85.4	
01-06	19.6	39.2	50.4	84.3	
01-07	19.0	37.8	51.4	81.4	
01-08	21.6	37.7	52.4	81.4	
01-09	21.6	37.6	52.4	82.8	
01-10	21.3	37.7	53.2	84.3	
01-11	21.2	39.4	53.1	86.5	
01-12	20.4	41.2	54.6	86.8	
01-13	19.4	39.8	56.1	86.7	
01-14	19.5	39.8	56.7	86.8	
01-15	19.4	40.0	57.7	86.6	
01-16	19.5	41.3	58.6	86.7	
01-17	19.5	42.5	59.2	87.2	
01-18	19.4	42.3	59.4	86.6	
01-19	19.3	43.7	59.3	86.5	
01-20	19.3	45.8	59.2	86.5	
01-21	19.5	46.2	59.0	86.2	
01-22	19.9	47.1	59.1	88.4	
01-23	19.7	47.2	58.8	89.3	
01-24	19.5	46.5	58.1	88.3	
01-25	21.1	46.2	58.5	87.8	
01-26	21.8	44.8	59.0	84.9	
01-27	21.4	44.1	59.4	83.6	
01-28	21.4	44.2	59.2	84.6	
01-29	21.3	44.1	59.2	86.6	
01-30	19.6	42.8	58.5	88.2	
01-31	20.2	42.8	58.5	88.7	
02-01	20.4	43.7	58.5	88.8	
02-02	20.3	45.5	57.9	88.5	
02-03	19.6	45.0	56.9	87.2	
02-04	18.9	43.7	56.2	84.5	
02-05	20.0	42.4	57.5	82.4	
02-06	19.6	41.9	58.7	81.4	
02-07	20.4	43.4	58.8	83.0	
02-08	20.7	44.2	58.9	82.9	
02-09	20.7	45.7	58.9	82.9	
02-10	20.7	46.8	58.9	82.9	
02-11	20.7	46.8	58.9	82.9	
02-12	21.7	46.7	60.2	82.9	
02-13	23.3	47.0	61.0	82.8	
02-14	23.4	47.2	61.0	82.7	
02-15	23.3	47.4	61.0	82.8	
02-16	23.3	48.1	61.1	82.6	
02-17	22.8	47.6	59.7	80.6	
02-18	23.0	47.5	60.6	81.0	
02-19	23.0	47.7	61.6	80.9	
02-20	24.3	47.9	61.9	80.9	
02-21	24.4	48.1	62.7	81.0	
02-22	25.0	49.9	63.1	82.0	
02-23	24.6	50.5	63.4	81.0	
02-24	23.6	49.3	62.8	80.0	
02-25	23.5	49.3	62.8	80.0	
02-26	24.9	49.2	63.0	79.7	
02-27	26.0	49.6	63.6	80.7	
02-28	25.1	48.2	61.7	79.0	
02-29	31.1	48.5	56.7	91.5	
03-01	24.5	46.8	60.5	78.5	
03-02	24.1	46.1	60.6	78.5	
03-03	24.2	45.8	60.5	78.3	
03-04	25.7	48.5	60.0	78.2	
03-05	25.2	47.8	59.1	77.9	
03-06	23.8	46.6	58.5	77.6	
03-07	23.4	45.7	58.3	76.2	
03-08	23.3	45.5	57.9	75.7	
03-09	20.9	43.7	58.0	75.3	
03-10	18.6	42.1	57.8	75.3	
03-11	18.4	42.0	59.7	75.3	
03-12	18.4	42.1	59.7	76.1	
03-13	18.4	42.3	59.8	76.7	
03-14	18.4	42.2	59.5	78.8	
03-15	20.1	45.0	61.2	78.8	
03-16	20.9	48.0	61.1	78.7	
03-17	22.4	47.7	62.7	79.9	
03-18	25.0	46.9	63.7	79.0	
03-19	27.1	48.0	63.0	79.4	
03-20	26.8	49.8	62.8	79.2	
03-21	26.8	49.9	63.1	79.7	
03-22	26.7	49.9	63.6	80.0	
03-23	26.3	49.3	64.6	82.0	
03-24	26.4	49.5	65.1	84.8	
03-25	25.8	49.4	64.9	85.6	
03-26	26.0	50.6	65.3	87.4	
03-27	26.7	50.6	66.2	87.1	
03-28	27.5	52.9	65.8	86.5	
03-29	29.3	51.6	64.9	84.2	
03-30	29.7	50.4	63.3	82.0	
03-31	30.0	49.2	61.8	79.9	
04-01	30.7	48.2	60.5	79.5	
04-02	30.7	49.3	60.6	81.2	
04-03	30.7	49.5	61.2	83.9	
04-04	30.9	49.7	62.0	85.1	
04-05	33.3	50.3	62.8	85.2	
04-06	33.3	52.2	63.4	85.1	
04-07	36.1	52.7	63.8	85.2	
04-08	37.3	52.5	63.7	85.2	
04-09	37.4	53.5	63.7	85.2	
04-10	38.7	54.2	65.7	85.2	
04-11	39.7	54.2	66.7	85.2	
04-12	40.1	54.2	67.2	85.6	
04-13	39.8	54.0	68.1	86.6	
04-14	39.8	54.0	68.3	86.6	
04-15	39.6	53.7	67.9	86.2	
04-16	38.6	52.2	66.6	83.7	
04-17	38.0	50.9	65.1	81.6	
04-18	37.1	50.3	63.8	79.5	
04-19	36.8	49.6	62.2	77.7	
04-20	36.4	49.2	63.3	79.4	
04-21	36.3	49.0	63.0	79.3	
04-22	36.0	48.5	63.4	78.5	
04-23	35.2	47.5	62.4	76.8	
04-24	35.1	49.3	62.2	78.8	
04-25	35.2	50.7	62.2	81.2	
04-26	34.8	51.6	61.6	81.6	
04-27	36.2	51.5	61.4	81.4	
04-28	38.0	51.5	61.4	81.4	
04-29	37.8	51.1	61.0	80.8	
04-30	37.9	51.2	61.9	81.0	
05-01	38.3	50.2	62.2	79.3	
05-02	39.4	49.0	60.7	78.1	
05-03	38.8	48.4	59.9	78.1	
05-04	38.0	48.9	59.5	77.8	
05-05	37.7	48.7	59.2	78.3	
05-06	37.8	48.9	59.8	78.3	
05-07	37.9	49.0	62.3	78.4	
05-08	38.0	50.6	62.2	78.7	
05-09	37.9	51.8	62.2	79.2	
05-10	37.9	51.8	62.4	79.2	
05-11	37.4	51.0	61.7	78.1	
05-12	36.5	49.9	60.2	76.3	
05-13	35.7	48.8	58.8	74.6	
05-14	36.5	48.2	60.0	73.5	
05-15	36.6	48.1	60.0	73.5	
05-16	38.4	49.0	60.0	73.6	
05-17	38.4	48.9	60.0	73.6	
05-18	38.5	48.8	60.0	73.5	
05-19	38.4	48.9	60.2	73.6	
05-20	38.5	49.8	60.2	73.6	
05-21	38.5	50.7	60.2	74.0	
05-22	38.5	50.7	60.2	75.3	
05-23	38.4	51.7	60.1	75.3	
05-24	38.5	52.8	60.2	75.4	
05-25	38.5	52.8	60.1	75.4	
05-26	38.4	53.0	60.2	75.4	
05-27	38.5	53.0	60.1	75.8	
05-28	38.4	53.1	61.7	75.8	
05-29	38.5	53.1	61.6	75.8	
05-30	38.5	53.0	62.3	75.8	
05-31	38.6	53.3	62.4	75.8	
06-01	39.0	53.3	62.4	75.8	
06-02	38.9	53.3	63.2	75.7	
06-03	37.6	51.8	62.5	74.0	
06-04	37.5	51.8	62.6	74.0	
06-05	37.6	51.7	62.6	74.0	
