DATE	P15	P40	P60	P85
12-09	10.7	32.0	38.1	62.3	
12-10	10.7	33.3	38.2	62.3	
12-11	10.6	33.2	38.3	62.2	
12-12	10.7	33.7	38.4	62.2	
12-13	12.1	33.6	39.6	62.1	
12-14	13.9	33.6	41.6	62.1	
12-15	15.8	33.8	43.5	62.2	
12-16	15.5	33.6	44.8	62.2	
12-17	15.8	33.7	44.7	64.1	
12-18	15.4	35.2	44.8	66.0	
12-19	15.4	37.1	45.2	66.6	
12-20	15.7	38.3	45.7	66.6	
12-21	14.0	37.8	44.7	65.9	
12-22	13.8	38.2	44.7	66.6	
12-23	14.1	37.4	44.6	67.9	
12-24	13.8	37.0	45.7	68.0	
12-25	14.4	37.6	46.4	69.6	
12-26	15.5	37.6	47.3	70.1	
12-27	16.7	37.0	48.6	71.9	
12-28	17.9	38.1	49.5	73.9	
12-29	17.9	38.5	49.8	74.0	
12-30	17.8	39.8	50.5	73.7	
12-31	17.6	39.3	50.3	72.5	
01-01	16.9	38.6	51.4	77.4	
01-02	16.8	38.6	50.5	76.2	
01-03	18.0	37.9	50.0	74.8	
01-04	17.7	37.5	49.6	75.1	
01-05	18.3	36.9	50.6	74.2	
01-06	18.3	36.9	51.2	75.0	
01-07	19.2	38.0	51.3	74.9	
01-08	19.5	38.0	51.3	74.9	
01-09	20.3	38.7	51.4	75.0	
01-10	20.7	39.7	51.6	75.0	
01-11	21.1	40.4	51.6	74.9	
01-12	22.0	40.5	52.9	74.9	
01-13	21.9	40.4	52.9	74.9	
01-14	21.9	40.5	52.9	75.6	
01-15	21.9	40.4	52.9	77.7	
01-16	21.9	40.5	53.0	79.7	
01-17	21.9	40.5	52.9	81.3	
01-18	22.1	40.4	52.9	81.2	
01-19	22.2	41.1	53.3	81.3	
01-20	22.8	41.2	53.8	81.2	
01-21	22.0	42.3	53.8	82.6	
01-22	20.5	41.6	54.0	82.2	
01-23	19.9	40.9	53.0	80.5	
01-24	19.6	40.1	51.9	79.0	
01-25	19.3	39.3	50.9	77.9	
01-26	17.4	38.1	49.1	75.9	
01-27	16.8	36.7	48.4	74.1	
01-28	16.6	35.8	49.1	72.5	
01-29	15.9	35.3	49.5	71.0	
01-30	15.7	36.4	50.5	70.9	
01-31	15.3	35.7	51.4	71.0	
02-01	15.1	35.1	51.9	70.6	
02-02	14.8	34.6	51.4	71.1	
02-03	14.7	34.2	51.5	71.2	
02-04	15.0	33.6	50.6	70.1	
02-05	16.7	33.6	50.6	70.3	
02-06	17.6	33.4	49.4	70.6	
02-07	17.3	32.9	48.6	71.9	
02-08	16.6	33.3	48.9	72.4	
02-09	15.2	34.0	48.0	72.0	
02-10	15.0	35.2	47.8	71.9	
02-11	14.6	36.5	47.2	71.0	
02-12	13.9	36.0	46.4	70.4	
02-13	13.9	36.0	46.7	70.3	
02-14	13.7	35.7	46.5	70.3	
02-15	12.8	34.6	45.1	68.7	
02-16	12.2	34.5	44.1	67.3	
02-17	11.3	33.4	43.2	66.0	
02-18	11.1	32.3	42.5	64.5	
02-19	11.9	31.4	41.5	63.3	
02-20	11.1	30.5	40.6	62.0	
02-21	11.1	30.9	40.5	61.5	
02-22	11.1	31.0	40.6	62.0	
02-23	11.3	31.5	40.6	63.8	
02-24	11.6	32.0	40.6	65.3	
02-25	13.1	31.9	40.6	65.3	
02-26	13.1	32.4	40.8	65.4	
02-27	12.9	32.1	40.5	66.5	
02-28	12.9	32.1	41.0	68.3	
02-29	10.1	37.4	75.0	94.1	
03-01	12.9	32.3	41.0	69.9	
03-02	12.9	33.0	40.9	70.1	
03-03	12.9	33.0	40.8	71.2	
03-04	12.8	33.0	41.5	71.2	
03-05	13.5	32.9	41.4	70.9	
03-06	12.6	32.3	40.6	70.0	
03-07	11.7	31.6	40.0	69.7	
03-08	13.0	31.6	40.8	69.7	
03-09	13.1	31.7	41.0	69.7	
03-10	13.1	31.6	41.0	69.7	
03-11	13.1	32.5	40.9	70.3	
03-12	13.1	32.6	41.0	71.1	
03-13	13.1	32.6	41.2	72.2	
03-14	13.0	33.7	41.9	72.8	
03-15	13.0	34.7	42.2	72.8	
03-16	13.4	34.3	42.2	72.0	
03-17	13.5	33.6	41.5	70.7	
03-18	13.4	33.0	40.7	69.4	
03-19	13.0	32.3	40.1	68.2	
03-20	12.9	31.8	41.2	67.2	
03-21	13.2	31.7	42.2	66.0	
03-22	13.9	32.5	43.2	64.9	
