DATE	P15	P40	P60	P85
12-14	-5.588	-5.315	-5.203	-4.965	
12-15	-5.591	-5.318	-5.207	-4.957	
12-16	-5.588	-5.319	-5.211	-4.955	
12-17	-5.567	-5.299	-5.19	-4.935	
12-18	-5.562	-5.298	-5.187	-4.915	
12-19	-5.565	-5.288	-5.191	-4.896	
12-20	-5.551	-5.281	-5.173	-4.876	
12-21	-5.546	-5.27	-5.172	-4.866	
12-22	-5.549	-5.267	-5.176	-4.872	
12-23	-5.535	-5.271	-5.177	-4.877	
12-24	-5.529	-5.275	-5.181	-4.882	
12-25	-5.51	-5.28	-5.168	-4.879	
12-26	-5.499	-5.284	-5.148	-4.86	
12-27	-5.482	-5.265	-5.141	-4.841	
12-28	-5.486	-5.244	-5.139	-4.821	
12-29	-5.489	-5.239	-5.13	-4.821	
12-30	-5.493	-5.243	-5.133	-4.825	
MIN:-5.925	MAX:-4.188
01-01	-5.491	-5.252	-5.131	-4.805	
01-02	-5.494	-5.25	-5.136	-4.81	
01-03	-5.498	-5.254	-5.14	-4.815	
01-04	-5.502	-5.258	-5.127	-4.798	
01-05	-5.505	-5.262	-5.131	-4.795	
01-06	-5.509	-5.266	-5.112	-4.79	
01-07	-5.51	-5.27	-5.113	-4.796	
01-08	-5.504	-5.274	-5.117	-4.801	
01-09	-5.491	-5.279	-5.117	-4.806	
01-10	-5.479	-5.281	-5.121	-4.812	
01-11	-5.482	-5.261	-5.126	-4.815	
01-12	-5.476	-5.263	-5.115	-4.81	
01-13	-5.479	-5.257	-5.12	-4.791	
01-14	-5.483	-5.261	-5.124	-4.787	
01-15	-5.487	-5.263	-5.129	-4.771	
01-16	-5.49	-5.242	-5.133	-4.752	
01-17	-5.494	-5.243	-5.137	-4.746	
01-18	-5.487	-5.247	-5.131	-4.75	
01-19	-5.49	-5.251	-5.13	-4.751	
01-20	-5.487	-5.236	-5.132	-4.745	
01-21	-5.467	-5.227	-5.136	-4.735	
01-22	-5.47	-5.229	-5.134	-4.741	
01-23	-5.473	-5.219	-5.121	-4.746	
01-24	-5.477	-5.217	-5.123	-4.752	
01-25	-5.481	-5.221	-5.124	-4.757	
01-26	-5.484	-5.225	-5.115	-4.762	
01-27	-5.488	-5.23	-5.1	-4.761	
01-28	-5.492	-5.234	-5.1	-4.742	
01-29	-5.495	-5.238	-5.087	-4.733	
01-30	-5.499	-5.239	-5.076	-4.714	
01-31	-5.502	-5.241	-5.066	-4.695	
02-01	-5.506	-5.245	-5.069	-4.687	
02-02	-5.51	-5.249	-5.074	-4.669	
02-03	-5.499	-5.254	-5.076	-4.65	
02-04	-5.5	-5.256	-5.075	-4.64	
02-05	-5.504	-5.25	-5.08	-4.636	
02-06	-5.508	-5.233	-5.084	-4.617	
02-07	-5.496	-5.224	-5.081	-4.606	
02-08	-5.5	-5.222	-5.08	-4.603	
02-09	-5.504	-5.218	-5.084	-4.609	
02-10	-5.507	-5.201	-5.089	-4.615	
02-11	-5.511	-5.205	-5.083	-4.62	
02-12	-5.506	-5.199	-5.077	-4.626	
02-13	-5.494	-5.202	-5.069	-4.632	
02-14	-5.491	-5.196	-5.073	-4.637	
02-15	-5.489	-5.199	-5.078	-4.643	
02-16	-5.492	-5.198	-5.083	-4.649	
02-17	-5.496	-5.202	-5.087	-4.654	
02-18	-5.5	-5.198	-5.092	-4.66	
02-19	-5.502	-5.199	-5.096	-4.665	
02-20	-5.505	-5.203	-5.101	-4.671	
02-21	-5.509	-5.203	-5.106	-4.677	
02-22	-5.512	-5.185	-5.11	-4.682	
02-23	-5.501	-5.184	-5.115	-4.688	
02-24	-5.5	-5.189	-5.114	-4.693	
02-25	-5.504	-5.193	-5.119	-4.699	
02-26	-5.507	-5.197	-5.123	-4.704	
02-27	-5.511	-5.2	-5.116	-4.71	
02-28	-5.515	-5.204	-5.116	-4.715	
02-29	-5.518	-5.166	-4.895	-4.69	
03-01	-5.522	-5.206	-5.119	-4.707	
03-02	-5.515	-5.21	-5.114	-4.693	
03-03	-5.511	-5.214	-5.119	-4.689	
03-04	-5.515	-5.219	-5.123	-4.692	
03-05	-5.501	-5.216	-5.128	-4.698	
03-06	-5.504	-5.205	-5.132	-4.703	
03-07	-5.508	-5.205	-5.133	-4.709	
03-08	-5.511	-5.2	-5.132	-4.714	
03-09	-5.5	-5.203	-5.129	-4.709	
03-10	-5.502	-5.205	-5.133	-4.689	
03-11	-5.505	-5.207	-5.137	-4.67	
03-12	-5.509	-5.211	-5.131	-4.672	
03-13	-5.506	-5.216	-5.121	-4.678	
03-14	-5.507	-5.22	-5.125	-4.678	
03-15	-5.509	-5.224	-5.126	-4.675	
03-16	-5.507	-5.228	-5.131	-4.679	
03-17	-5.51	-5.231	-5.127	-4.684	
03-18	-5.514	-5.23	-5.113	-4.69	
03-19	-5.518	-5.219	-5.117	-4.695	
03-20	-5.512	-5.219	-5.114	-4.701	
03-21	-5.51	-5.214	-5.094	-4.707	
03-22	-5.489	-5.218	-5.094	-4.712	
03-23	-5.489	-5.214	-5.098	-4.702	
03-24	-5.492	-5.206	-5.093	-4.683	
03-25	-5.488	-5.203	-5.097	-4.675	
03-26	-5.488	-5.208	-5.096	-4.678	
03-27	-5.491	-5.212	-5.076	-4.674	
03-28	-5.486	-5.216	-5.069	-4.679	
03-29	-5.489	-5.218	-5.057	-4.685	
03-30	-5.476	-5.211	-5.062	-4.69	
03-31	-5.463	-5.206	-5.057	-4.696	
04-01	-5.459	-5.198	-5.051	-4.701	
04-02	-5.439	-5.191	-5.048	-4.692	
04-03	-5.435	-5.193	-5.04	-4.697	
04-04	-5.425	-5.197	-5.034	-4.703	
04-05	-5.425	-5.195	-5.031	-4.708	
04-06	-5.421	-5.199	-5.023	-4.714	
04-07	-5.407	-5.203	-5.028	-4.719	
04-08	-5.402	-5.183	-5.033	-4.717	
04-09	-5.384	-5.183	-5.032	-4.716	
04-10	-5.388	-5.182	-5.012	-4.722	
04-11	-5.392	-5.179	-4.993	-4.727	
04-12	-5.396	-5.183	-4.973	-4.733	
04-13	-5.399	-5.187	-4.972	-4.738	
04-14	-5.403	-5.191	-4.977	-4.744	
04-15	-5.407	-5.195	-4.982	-4.744	
04-16	-5.4	-5.2	-4.987	-4.747	
04-17	-5.401	-5.203	-4.992	-4.753	
04-18	-5.405	-5.207	-4.988	-4.758	
04-19	-5.408	-5.206	-4.974	-4.763	
04-20	-5.392	-5.21	-4.979	-4.769	
04-21	-5.396	-5.209	-4.983	-4.755	
04-22	-5.4	-5.205	-4.988	-4.761	
04-23	-5.404	-5.208	-4.993	-4.763	
04-24	-5.408	-5.201	-4.998	-4.767	
04-25	-5.411	-5.184	-5.003	-4.773	
04-26	-5.415	-5.185	-4.998	-4.778	
04-27	-5.419	-5.189	-4.997	-4.783	
04-28	-5.423	-5.188	-5.002	-4.789	
04-29	-5.427	-5.191	-5.001	-4.794	
04-30	-5.43	-5.195	-4.987	-4.799	
05-01	-5.434	-5.2	-4.991	-4.792	
05-02	-5.438	-5.196	-4.996	-4.786	
05-03	-5.442	-5.2	-5.001	-4.791	
05-04	-5.445	-5.191	-5.006	-4.797	
05-05	-5.434	-5.194	-5.011	-4.802	
05-06	-5.434	-5.198	-5.015	-4.807	
05-07	-5.437	-5.203	-5.018	-4.813	
05-08	-5.441	-5.207	-5.023	-4.818	
05-09	-5.445	-5.211	-5.028	-4.823	
05-10	-5.449	-5.215	-5.033	-4.828	
05-11	-5.452	-5.22	-5.021	-4.827	
05-12	-5.456	-5.224	-5.026	-4.809	
05-13	-5.448	-5.225	-5.025	-4.802	
05-14	-5.451	-5.23	-5.023	-4.808	
05-15	-5.455	-5.234	-5.028	-4.813	
05-16	-5.459	-5.238	-5.033	-4.818	
05-17	-5.463	-5.239	-5.037	-4.823	
05-18	-5.466	-5.243	-5.042	-4.828	
05-19	-5.47	-5.247	-5.029	-4.834	
05-20	-5.474	-5.251	-5.033	-4.839	
05-21	-5.477	-5.255	-5.038	-4.844	
05-22	-5.469	-5.257	-5.042	-4.849	
05-23	-5.473	-5.252	-5.047	-4.854	
05-24	-5.477	-5.257	-5.052	-4.86	
05-25	-5.48	-5.261	-5.056	-4.865	
05-26	-5.484	-5.265	-5.061	-4.87	
05-27	-5.488	-5.268	-5.066	-4.875	
05-28	-5.491	-5.27	-5.07	-4.88	
05-29	-5.482	-5.275	-5.075	-4.885	
05-30	-5.486	-5.279	-5.08	-4.89	
05-31	-5.49	-5.28	-5.082	-4.895	
06-01	-5.493	-5.284	-5.087	-4.9	
06-02	-5.497	-5.289	-5.092	-4.905	
06-03	-5.5	-5.291	-5.096	-4.91	
06-04	-5.504	-5.295	-5.101	-4.915	
06-05	-5.508	-5.299	-5.105	-4.92	
06-06	-5.511	-5.303	-5.11	-4.925	
06-07	-5.515	-5.308	-5.114	-4.93	
06-08	-5.518	-5.312	-5.119	-4.935	
06-09	-5.522	-5.311	-5.124	-4.94	
06-10	-5.52	-5.315	-5.128	-4.945	
06-11	-5.523	-5.319	-5.133	-4.95	
06-12	-5.521	-5.319	-5.137	-4.949	
